AQI,CO,CO2,Humidity,LIGHT,PM10,PM25,TVOC,Temperature,Latitude,Longitude
63.0,2.040999889,515.0,48.0,6.0,39.0,37.0,0.0,31.0,28.3650316,75.5818045
63.0,1.959999442,515.0,48.0,6.0,38.0,36.0,0.0,31.0,28.3650316,75.5818045
63.0,1.783999205,517.0,47.0,6.0,40.0,38.0,0.0,31.0,28.3650314,75.5818043
64.0,1.28599906,517.0,47.0,6.0,41.0,39.0,0.0,31.0,28.3650314,75.5818043
63.0,1.5509991650000001,515.0,48.0,6.0,40.0,38.0,0.0,31.0,28.3650255,75.5818011
63.0,1.352998972,515.0,48.0,6.0,39.0,37.0,0.0,31.0,28.3650201,75.5817976
63.0,1.678998947,515.0,48.0,6.0,38.0,36.0,0.0,31.0,28.3650488,75.5818012
63.0,2.010998964,515.0,48.0,6.0,37.0,35.0,0.0,31.0,28.365063,75.581759
63.0,1.71799922,515.0,47.0,6.0,38.0,36.0,0.0,31.0,28.3650709,75.5817071
64.0,1.730998993,515.0,47.0,6.0,41.0,39.0,0.0,31.0,28.3650768,75.581652
69.0,1.600998878,515.0,47.0,6.0,44.0,42.0,0.0,31.0,28.3650836,75.5816009
69.0,1.570998907,515.0,47.0,6.0,44.0,42.0,0.0,31.0,28.3650909,75.5815474
67.0,1.722998857,515.0,47.0,6.0,43.0,41.0,0.0,31.0,28.3650996,75.581494
66.0,1.739998579,519.0,48.0,6.0,42.0,40.0,0.0,31.0,28.3651056,75.5814334
64.0,1.379998565,519.0,48.0,6.0,41.0,39.0,0.0,31.0,28.3651112,75.5813775
66.0,1.089998722,515.0,49.0,6.0,42.0,40.0,0.0,31.0,28.3651143,75.5813216
66.0,1.271998763,515.0,49.0,6.0,42.0,40.0,0.0,31.0,28.3651202,75.5812626
66.0,1.977998972,515.0,48.0,6.0,42.0,40.0,0.0,31.0,28.3651272,75.5812091
66.0,2.240998745,515.0,48.0,6.0,42.0,40.0,0.0,31.0,28.365138,75.5811555
64.0,1.594998717,515.0,48.0,6.0,41.0,39.0,0.0,31.0,28.3651462,75.5811011
64.0,1.176998734,517.0,48.0,6.0,41.0,39.0,0.0,31.0,28.3651518,75.5810434
64.0,1.450998783,523.0,48.0,6.0,41.0,39.0,0.0,31.0,28.3651562,75.5809874
66.0,1.524998784,530.0,49.0,6.0,42.0,40.0,0.0,31.0,28.3651594,75.5809483
65.0,1.8789989950000001,540.0,49.0,6.0,41.0,39.0,0.0,31.0,28.3651734,75.5809063
66.0,1.807998657,551.0,49.0,6.0,42.0,40.0,0.0,92.0,28.3651772,75.5808508
67.0,1.114998579,560.0,49.0,6.0,43.0,41.0,0.0,32.0,28.3651563,75.5808081
67.0,1.020998597,566.0,49.0,6.0,42.0,40.0,0.0,32.0,28.3651119,75.5807987
67.0,1.46299839,568.0,49.0,6.0,41.0,39.0,0.0,32.0,28.3650631,75.5807883
67.0,1.777998328,568.0,49.0,6.0,41.0,39.0,0.0,32.0,28.3650204,75.5807802
67.0,1.439998507,567.0,49.0,6.0,40.0,38.0,0.0,32.0,28.3649713,75.5807678
67.0,1.742998481,566.0,50.0,6.0,41.0,39.0,0.0,32.0,28.3649223,75.5807471
67.0,1.613998413,565.0,51.0,6.0,42.0,40.0,0.0,32.0,28.3648773,75.5807311
67.0,1.259998441,565.0,53.0,6.0,41.0,39.0,0.0,32.0,28.3648287,75.5807289
67.0,1.882998466,563.0,53.0,6.0,40.0,38.0,0.0,32.0,28.364785,75.5807245
66.0,1.743998528,561.0,51.0,6.0,42.0,40.0,0.0,32.0,28.3647426,75.5807058
69.0,1.861998796,556.0,50.0,6.0,44.0,42.0,0.0,32.0,28.3646964,75.5806999
66.0,2.154998541,553.0,51.0,6.0,42.0,40.0,0.0,32.0,28.3646539,75.5806926
66.0,1.711998701,551.0,50.0,6.0,41.0,39.0,0.0,32.0,28.3646518,75.5806924
66.0,1.843998671,550.0,50.0,6.0,41.0,39.0,0.0,32.0,28.364617,75.580701
69.0,1.769998908,549.0,50.0,6.0,44.0,42.0,0.0,32.0,28.3646006,75.5807419
69.0,1.518998861,549.0,50.0,6.0,44.0,42.0,0.0,32.0,28.3646356,75.5807637
67.0,1.797998786,550.0,50.0,6.0,43.0,41.0,0.0,32.0,28.3646445,75.5808054
69.0,1.528998971,548.0,50.0,6.0,44.0,42.0,0.0,32.0,28.3646906,75.580822
69.0,1.060998797,543.0,50.0,6.0,44.0,42.0,0.0,32.0,28.3647333,75.5808359
67.0,1.008998871,540.0,51.0,6.0,43.0,41.0,0.0,32.0,28.3647823,75.5808463
67.0,1.567998886,536.0,51.0,6.0,43.0,41.0,0.0,32.0,28.3648296,75.5808532
67.0,1.8609988690000001,535.0,52.0,6.0,43.0,41.0,0.0,32.0,28.3648812,75.5808675
69.0,1.356998801,534.0,52.0,6.0,44.0,42.0,0.0,32.0,28.3649319,75.5808797
